,date_service_received,open_or_boarded,vacant_or_occupied,vacant_fire,property_used,zipcode,latitude,longitude
197,1/20/2013,Open,Vacant,False,True,60629.0,41.78255956,-87.70645188
198,1/20/2013,Open,Vacant,False,False,60656.0,41.96060329,-87.83949529
199,1/21/2013,Open,Vacant,False,False,60609.0,41.80293122,-87.67576456
200,1/21/2013,Open,Vacant,False,False,60637.0,41.77980366,-87.60717664
201,1/21/2013,Open,Vacant,False,False,60628.0,41.6632933,-87.63297337
202,1/21/2013,Open,Vacant,False,True,60653.0,41.81613529999999,-87.61833664
203,1/21/2013,Open,Vacant,False,True,60624.0,41.87276502,-87.70723797
204,1/22/2013,Open,Vacant,False,False,60609.0,41.79853359,-87.66105986
205,1/22/2013,Open,Vacant,False,False,60609.0,41.79849708,-87.66105878
206,1/22/2013,Open,Vacant,False,True,60621.0,41.79157552,-87.63408285
207,1/22/2013,Open,Vacant,False,False,60645.0,41.99806321,-87.69721797
208,1/22/2013,Open,Vacant,False,False,60643.0,41.70947123,-87.64654745
209,1/22/2013,Open,Vacant,False,True,60651.0,41.89910728,-87.72253141
210,1/22/2013,Open,Vacant,False,False,60624.0,41.88902819,-87.72467883
211,1/22/2013,Open,Vacant,False,True,60612.0,41.87735389,-87.70281342
212,1/22/2013,Open,Vacant,False,False,60651.0,41.89908862,-87.72253086
213,1/22/2013,Open,Vacant,False,False,60640.0,41.96904524,-87.65823443
214,1/22/2013,Open,Vacant,False,True,60636.0,41.76394484,-87.6540865
215,1/22/2013,Open,Vacant,True,False,60644.0,41.89144722,-87.74164135
216,1/22/2013,Open,Vacant,True,True,60643.0,41.68015111,-87.66025029
217,1/22/2013,Open,Vacant,False,True,60628.0,41.67563538,-87.63461598
218,1/23/2013,Open,Vacant,False,False,60630.0,41.98158383,-87.77563948
219,1/23/2013,Open,Vacant,False,False,60634.0,41.94876941,-87.8329015
220,1/23/2013,Open,Vacant,False,False,60612.0,41.88192698,-87.70269447
221,1/23/2013,Open,Vacant,False,False,60651.0,41.9041016,-87.75227652
222,1/23/2013,Open,Vacant,False,False,60624.0,41.8670039,-87.73060857
223,1/23/2013,Boarded,Vacant,False,False,60647.0,41.9232576,-87.70252309
224,1/23/2013,Open,Vacant,False,True,60625.0,41.96662056,-87.70938951
225,1/23/2013,Open,Vacant,False,True,60639.0,41.92841235,-87.74207995
226,1/23/2013,Open,Vacant,False,True,60621.0,41.76268444,-87.6479875
227,1/24/2013,Open,Vacant,False,False,60643.0,41.68011432,-87.66024884
228,1/24/2013,Open,Vacant,False,False,60630.0,41.96904128,-87.7392035
229,1/24/2013,Open,Vacant,False,True,60628.0,41.6632925,-87.63302205
230,1/24/2013,Open,Vacant,False,True,60636.0,41.77481328,-87.67622312
231,1/24/2013,Open,Vacant,False,True,60621.0,41.77858957,-87.64839007
232,1/24/2013,Open,Vacant,False,False,60621.0,41.77694404,-87.6520014
233,1/24/2013,Open,Vacant,False,False,60630.0,41.97567127,-87.77629712
234,1/24/2013,Open,Vacant,False,False,60621.0,41.77698082,-87.65200247
235,1/24/2013,Open,Vacant,False,True,60624.0,41.87183879,-87.72602243
236,1/24/2013,Open,Vacant,True,True,60612.0,41.87376977,-87.69882782
237,1/25/2013,Open,Vacant,False,True,60623.0,41.85142883,-87.70767623
238,1/25/2013,Open,Vacant,False,True,60623.0,41.851392600000004,-87.70767474
239,1/25/2013,Open,Vacant,False,True,60623.0,41.8512839,-87.7076703
240,1/25/2013,Open,Vacant,True,False,60636.0,41.76750596,-87.67622513
241,1/25/2013,Open,Vacant,False,True,60628.0,41.70875619,-87.64045308
242,1/25/2013,Open,Vacant,False,True,60608.0,41.86328757,-87.69331899
243,1/25/2013,Open,Vacant,False,True,60608.0,41.86326479,-87.69331848
244,1/25/2013,Open,Vacant,False,True,60609.0,41.79714201,-87.64280055
245,1/25/2013,Open,Vacant,False,True,60624.0,41.87522407,-87.72895068
246,1/25/2013,Boarded,Vacant,False,False,60651.0,41.90712958,-87.73010708
247,1/25/2013,Open,Vacant,False,False,60641.0,41.95453857,-87.74055723
248,1/25/2013,Open,Vacant,False,True,60636.0,41.77748838,-87.66663609
249,1/25/2013,Open,Vacant,False,True,60636.0,41.7773506,-87.66663238
250,1/26/2013,Open,Vacant,False,True,60621.0,41.77135776,-87.65185433
251,1/26/2013,Open,Vacant,False,False,60628.0,41.70709999,-87.62841777
252,1/26/2013,Open,Vacant,False,True,60636.0,41.79356261,-87.67321681
253,1/26/2013,Open,Vacant,True,False,60621.0,41.75956741,-87.63573931
254,1/26/2013,Open,Vacant,False,False,60630.0,41.97243149,-87.77218269
255,1/27/2013,Open,Vacant,False,False,60609.0,41.79721009,-87.66102455
256,1/27/2013,Boarded,Vacant,False,False,60614.0,41.93067758,-87.66263424
257,1/27/2013,Open,Vacant,False,False,60660.0,41.99698957,-87.66299563
258,1/27/2013,Open,Vacant,False,False,60623.0,41.84897315,-87.70027128
259,1/28/2013,Open,Vacant,False,False,60609.0,41.80709683,-87.63331099
260,1/28/2013,Open,Vacant,False,False,60641.0,41.94909739,-87.72813317
261,1/28/2013,Boarded,Vacant,False,False,60646.0,41.99266635,-87.78441947
262,1/28/2013,Open,Vacant,False,False,60653.0,41.82994984,-87.62052552
263,1/28/2013,Open,Vacant,False,True,60636.0,41.78100769,-87.67152451
264,1/28/2013,Open,Vacant,False,True,60636.0,41.77689844,-87.66170804
265,1/28/2013,Open,Vacant,False,True,60636.0,41.781119399999994,-87.6715263
266,1/28/2013,Open,Vacant,False,False,60609.0,41.81236581,-87.64198733
267,1/28/2013,Open,Vacant,False,True,60624.0,41.89225777,-87.70889633
268,1/29/2013,Open,Vacant,True,False,60609.0,41.8256489,-87.66542086
269,1/29/2013,Open,Vacant,False,False,60609.0,41.80039325,-87.67205311
270,1/29/2013,Open,Vacant,False,True,60608.0,41.83396436,-87.68027074
271,1/29/2013,Open,Vacant,True,False,60609.0,41.81231439,-87.63345684
272,1/29/2013,Open,Vacant,False,False,60624.0,41.87515951,-87.73404739
273,1/29/2013,Open,Vacant,False,True,60636.0,41.78753616,-87.68113161
