SERVICE REQUEST TYPE,SERVICE REQUEST NUMBER,DATE SERVICE REQUEST WAS RECEIVED,"LOCATION OF BUILDING ON THE LOT (IF GARAGE, CHANGE TYPE CODE TO BGD).",IS THE BUILDING DANGEROUS OR HAZARDOUS?,IS BUILDING OPEN OR BOARDED?,"IF THE BUILDING IS OPEN, WHERE IS THE ENTRY POINT?",IS THE BUILDING CURRENTLY VACANT OR OCCUPIED?,IS THE BUILDING VACANT DUE TO FIRE?,"ANY PEOPLE USING PROPERTY? (HOMELESS, CHILDEN, GANGS)",ADDRESS STREET NUMBER,ADDRESS STREET DIRECTION,ADDRESS STREET NAME,ADDRESS STREET SUFFIX,ZIP CODE,X COORDINATE,Y COORDINATE,Ward,Police District,Community Area,LATITUDE,LONGITUDE,Location
Vacant/Abandoned Building,14-00459000,3/31/2014,Front,,Open,,Vacant,FALSE,TRUE,3313,N,KEATING,AVE,60641,1144244.071,1921607.786,30,17,15,41.9409142,-87.74525944,"(41.94091420328576, -87.74525944061787)"
Vacant/Abandoned Building,14-00485989,4/4/2014,Front,,Open,,Vacant,FALSE,FALSE,247,W,95TH,ST,60628,1176207.909,1841940.354,21,5,49,41.72163845,-87.63017777,"(41.72163845323578, -87.63017776682494)"
Vacant/Abandoned Building,14-00472004,4/2/2014,Front,,Open,,Vacant,FALSE,FALSE,6914,S,PEORIA,ST,60621,1171498.975,1858995.623,17,7,68,41.76854463,-87.6469274,"(41.768544634339634, -87.64692740191093)"
Vacant/Abandoned Building,14-00279886,2/26/2014,Front,,Boarded,"FRONT ENTRANCE FROM THE FRONT DOOR,",Vacant,FALSE,TRUE,8521,S,MAY,ST,60620,1170140.674,1848294.229,21,6,71,41.73920824,-87.65221678,"(41.739208236010164, -87.6522167811252)"
Vacant/Abandoned Building,14-00148501,1/31/2014,Front,,Open,,Vacant,,TRUE,1413,E,71ST,PL,60619,1186862.224,1857871.731,5,3,43,41.76511033,-87.59064969,"(41.765110326323544, -87.5906496936322)"
Vacant/Abandoned Building,14-00149829,1/31/2014,Rear,,Open,BACK DOOR AND WINDOW ARE OPEN,Vacant,FALSE,FALSE,1417,E,71ST,PL,60619,1186889.124,1857872.231,5,3,43,41.76511106,-87.59055108,"(41.76511106097077, -87.59055108270933)"
Vacant/Abandoned Building,14-00094148,1/20/2014,Rear,,Open,,Vacant,FALSE,TRUE,1526,E,72ND,PL,60619,1187726.963,1857223.596,5,3,43,41.76331125,-87.58750081,"(41.7633112526186, -87.5875008137085)"
Vacant/Abandoned Building,14-00481138,4/3/2014,Rear,,Open,REAR TREE IN BACK YARD FELL INTO NEIGHBORS PROPERTY,Vacant,FALSE,FALSE,5540,S,LA SALLE,ST,60621,1176237.85,1868162.917,3,2,68,41.79359557,-87.62928204,"(41.793595567976205, -87.62928204010136)"
Vacant/Abandoned Building,14-00488710,4/5/2014,Front,,Open,,Vacant,TRUE,TRUE,550,W,116TH,ST,60628,1174629.057,1827968.635,34,5,53,41.68333324,-87.63637495,"(41.68333323850162, -87.63637495468454)"
Vacant/Abandoned Building,14-00463037,4/1/2014,Front,,Open,FRONT,Vacant,FALSE,FALSE,12137,S,STEWART,AVE,60628,1175813.318,1824439.027,34,5,53,41.67362107,-87.63214496,"(41.673621071215436, -87.63214495878015)"
